Stock,RMSE,MAE,MAPE (%),MSE
UCHM,0.013195624436434898,0.01047364486246995,5.476556173747089,0.00017412450426743784
HAFR,0.023049627924622552,0.018904245661706034,5.747933859015118,0.0005312853474635397
TCL,0.02528452545267703,0.01862821727683865,4.810946976182243,0.0006393072273670726
HBE,0.03608750879751244,0.0317620739494402,0.6815895697304764,0.0013023082912105377
CABL,0.061513851455720865,0.050602856124799346,4.983043099527569,0.0037839539209164924
EVRD,0.06239405687716427,0.050056808216055605,4.61404584031427,0.0038930183335908097
CIC,0.0706143768639056,0.05328214468415247,2.540915410729088,0.004986390219877687
KNRE,0.07856189332603372,0.06136181418428714,5.280051226692139,0.006171971082971101
KPLC-P4,0.10066812700297798,0.09058137284111756,2.26453432102794,0.010134071794287703
SMER,0.1036426306328425,0.0819504595294441,3.440440858038719,0.010741794884495823
FTGH,0.12240052416326408,0.09873865751876042,9.792995369010509,0.014981888315441795
BRIT,0.1803491085138503,0.1469119351180557,2.549648821576914,0.032525800941740554
SCAN,0.18251793382829043,0.13677627465159625,6.098078751314173,0.0333127961689482
OCH,0.18489677197150017,0.15927995229504774,5.399287756106525,0.03418681628548093
NBV,0.18840757682337586,0.15332010996710396,7.4591574482138725,0.03549741500445627
KEGN,0.1885699738926328,0.1423317016522909,4.533371934934798,0.035558635053868214
HFCK,0.20210458739851636,0.15834727651065159,3.823927221982287,0.04084626424752454
LKL,0.22436476133291688,0.19196408566740372,8.249206904957147,0.05033954612797675
CTUM,0.26056295189054696,0.20404137050982615,2.2148967891396447,0.0678930518979155
XPRS,0.2721002537213078,0.22114682227065868,6.362413860226357,0.07403854807520009
NSE,0.29855278610999164,0.2566995068186339,4.443806046085438,0.0891337660940384
SLAM,0.48999920514482975,0.41144248765768465,7.418498177885723,0.24009922104256495
UMME,0.564196909186839,0.4952013232044348,3.0211611894990433,0.31831815233598215
SCOM,0.6017210215279134,0.4795488475524269,3.079830323323676,0.3620681877485956
COOP,0.7753052755821997,0.6167570389423175,4.489603687655207,0.6010982703455907
SGL,0.7943833622173463,0.7021967819056564,12.87566922817759,0.6310449261677357
TOTL,0.8332149160964409,0.7112197757996237,3.4839074270789956,0.6942470964055991
EGAD,0.8827236797264649,0.6918530847608427,5.554669157647778,0.7792010947498306
TPSE,0.8848387751396996,0.743645449766179,5.504144509273469,0.7829396579907238
KPLC,0.9591536066896298,0.8087283275053674,24.266247815186187,0.9199756412257251
SASN,0.9607139191376373,0.7427496153054779,4.698702413002103,0.9229712344247986
LBTY,1.095170309329516,0.891311072320053,12.990586537399636,1.1993980064369076
BKG,1.184183179455378,0.925130446915774,2.7774868667439434,1.402289802505048
CGEN,1.2691075133209009,0.9779052341107249,4.486404493892372,1.6106338803675608
NMG,1.4694121376230542,1.1193986676402932,8.527704919927174,2.1591720301939534
LAPR,1.5521086197091247,1.4621078491210937,7.310539245605469,2.4090411673753644
NCBA,1.7346404944518397,1.4258430560429882,3.298510896219415,3.008977644992123
CARB,1.8454736449699103,1.4142187413481095,6.587318495042481,3.405772974278526
ABSA,1.906227549229558,1.7551859334572084,11.643949721981773,3.6337034694417265
UNGA,2.019507423094227,1.8396038527341236,12.444467139358462,4.078410231932686
CRWN,2.1867394306250025,1.7243392118473642,5.211100270033125,4.78182933745016
KCB,2.2323036015291526,1.7289038353359578,4.78589868102128,4.983179369400027
EQTY,2.420404922832171,2.0074399338555082,4.435184103298758,5.858359990470207
DTK,4.136111409059378,2.895028017968248,5.449208527517157,17.10741758815115
BOC,4.605163083381202,3.9686810994885704,4.690886360020915,21.207527024537054
JUB,5.0608460011319245,3.969325586692578,2.4216565963796075,25.61216224717299
BAT,5.0987871594868714,3.6963645699098078,1.052729789874582,25.997630497748197
IMH,5.410401683592235,5.069433424644863,19.39648634666448,29.27244637781769
BAMB,6.931695159885991,5.122830129407113,7.987550158132538,48.04839778958687
SBIC,7.546738043687286,5.84154762189412,4.490620021410952,56.953255100037005
WTK,9.032569869439136,6.159704778612269,2.7092894987024394,81.58731844629975
LIMT,9.278665466536998,8.704282151054993,2.3884269081278773,86.09363283990623
EABL,14.770225226881161,11.11215603228697,6.254150990944482,218.15955325279663
PORT,17.85709371221717,14.954800136212219,53.83863911046398,318.875795846906
KAPC,18.45691061459157,16.064634657397697,7.051212162662401,340.65754943502304
KUKZ,24.861187265931147,18.47681324752336,4.392240072588524,618.078632271697
ORCH,25.870369559420862,20.500938840256524,35.09570643833127,669.2760211410096
SCBK,36.95398579639536,30.669001785750243,12.892542565584343,1365.59706624019
GLD,444.9466176079968,425.0441844192986,13.41675867363329,197977.49252079695
